Serviço;Animal;Descrição;Preço
Consulta Veterinária;pássaros;Atendimento especializado e diagnóstico;92.86
Vacinação;gatos;Aplicação de vacinas essenciais para a saúde;271.71
Emergência Veterinária;pássaros;Atendimento imediato para situações graves;65.94
Microchipagem;gatos;Identificação permanente e segura;59.22
Hospedagem;gatos;Ambiente seguro e confortável para animais;70.56
Microchipagem;gatos;Identificação permanente e segura;225.06
Terapia Comportamental;gatos;Acompanhamento para ajustar comportamentos;201.21
Hospedagem;gatos;Ambiente seguro e confortável para animais;269.91
Hospedagem;pássaros;Ambiente seguro e confortável para animais;437.33
Alimentação Supervisionada;pássaros;Monitoramento de refeições especiais;238.72
Terapia Comportamental;gatos;Acompanhamento para ajustar comportamentos;216.25
Emergência Veterinária;pássaros;Atendimento imediato para situações graves;153.56
Alimentação Supervisionada;pássaros;Monitoramento de refeições especiais;117.41
Consulta Veterinária;cães;Atendimento especializado e diagnóstico;366.16
Hospedagem;gatos;Ambiente seguro e confortável para animais;206.6
Microchipagem;gatos;Identificação permanente e segura;62.15
Consulta Veterinária;gatos;Atendimento especializado e diagnóstico;497.86
Consulta Veterinária;gatos;Atendimento especializado e diagnóstico;316.06
Consulta Veterinária;roedores;Atendimento especializado e diagnóstico;156.72
Passeio com Cães;cães;Exercício supervisionado para cães;56.41
Hospedagem;pássaros;Ambiente seguro e confortável para animais;98.19
Consulta Veterinária;roedores;Atendimento especializado e diagnóstico;460.88
Banho e Tosa;cães;Higiene e estética completa para animais;237.34
Microchipagem;gatos;Identificação permanente e segura;136.25
Consulta Veterinária;roedores;Atendimento especializado e diagnóstico;286.81
Consulta Veterinária;gatos;Atendimento especializado e diagnóstico;87.05
Vacinação;cães;Aplicação de vacinas essenciais para a saúde;193.29
Vacinação;gatos;Aplicação de vacinas essenciais para a saúde;250.39
Banho e Tosa;cães;Higiene e estética completa para animais;57.7
Vacinação;gatos;Aplicação de vacinas essenciais para a saúde;314.98
Consulta Veterinária;gatos;Atendimento especializado e diagnóstico;418.79
Vacinação;cães;Aplicação de vacinas essenciais para a saúde;478.41
Consulta Veterinária;gatos;Atendimento especializado e diagnóstico;341.11
Hospedagem;pássaros;Ambiente seguro e confortável para animais;339.03
Adestramento;cães;Treinamento comportamental para obediência;151.57
Consulta Veterinária;gatos;Atendimento especializado e diagnóstico;232.59
Consulta Veterinária;gatos;Atendimento especializado e diagnóstico;411.65
Alimentação Supervisionada;pássaros;Monitoramento de refeições especiais;428.97
Hospedagem;roedores;Ambiente seguro e confortável para animais;134.08
Consulta Veterinária;pássaros;Atendimento especializado e diagnóstico;126.71
Hospedagem;gatos;Ambiente seguro e confortável para animais;297.11
Terapia Comportamental;gatos;Acompanhamento para ajustar comportamentos;342.02
Consulta Veterinária;roedores;Atendimento especializado e diagnóstico;476.3
Adestramento;cães;Treinamento comportamental para obediência;117.07
Alimentação Supervisionada;pássaros;Monitoramento de refeições especiais;151.53
Banho e Tosa;cães;Higiene e estética completa para animais;386.58
Emergência Veterinária;roedores;Atendimento imediato para situações graves;81.36
Hospedagem;roedores;Ambiente seguro e confortável para animais;266.98
Emergência Veterinária;pássaros;Atendimento imediato para situações graves;297.43
Hospedagem;gatos;Ambiente seguro e confortável para animais;328.56
